key,en,pt,es,fr,jp,ru
menu-play,Play,Jogar,Jugar,Jouer,プレイ,Играть
menu-how-to-play,How to Play,Como jogar,Cómo jugar,Comment jouer,遊び方,Как играть
statistics,Statistics,Estatísticas,Estadísticas,Statistiques,統計,Статистика
settings,Settings,Configurações,Configuración,Paramètres,設定,Настройки
credits,Credits,Créditos,Créditos,Crédits,クレジット,Кредиты
exit,Exit,Sair,Salir,Quitter,終了,Выйти
king,King,Rei,Rey,Rei,王,Король
volume,Volume,Volume,Volumen,Volumer,ボリューム,Громкость
copper-axe,Copper Axe,Machado de Cobre,Hacha de Cobre,Hache en Cuivre,斧の金棒,Медный топор
copper-sword,Copper Sword,Espada de Cobre,Espada de Cobre,Épée en Cuivre,刀の金棒,Медный меч
copper spear,Copper Spear,Lança de Cobre,Lanza de Cobre,Lance en Cuivre,槍の金棒,Медное копьё
Copper knife,Copper Knife,Faca de Cobre,Cuchillo de Cobre,Couteau en Cuivre,短刀の金棒,Медный нож
Copper Mace,Copper Mace,Maça de Cobre,Maza de Cobre,Masse en Cuivre, 銅の金棒,булава
copper-shield,Shield,Escudo de Cobre,Escudo de Cobre,Bouclier en Cuivre,盾の金棒,Медный щит
credits-bottom-text,A game by @PirateSheepGameLab,Um jogo do @PirateSheepGameLab,Un joego de @PirateSheepGameLab,A game by @PirateSheepGameLab,@PirateSheepGameLab のゲーム,Игра от @PirateSheepGameLab
ITEMS,,,,,,
item-copper-ore,,,,,,
item-gold-ore,,,,,,
